Region,SubRegion,StudyArea,SurveyYear,BatchCode,SurveyIndex,SurveyDate,Latitude,Longitude,Management,StructureType,Family,ScientificName,CommonName,Trophic,FishLength,FishCount
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Carangidae,Carangoides ruber,Bar Jack,P,45,1
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Carangidae,Caranx latus,Horse-eye Jack,P,50,26
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Chaetodontidae,Chaetodon ocellatus,Spotfin Butterflyfish,I ,7.5,2
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Chaetodontidae,Chaetodon sedentarius,Reef Butterflyfish,I,7.5,2
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Chaetodontidae,Prognathodes aculeatus,Longsnout Butterflyfish,I,7.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Gobiidae,Elacatinus oceanops,Neon Goby,I ,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Labridae,Bodianus pulchellus,Spotfin Hogfish,I ,3,2
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Labridae,Bodianus rufus,Spanish Hogfish,I,3,4
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Labridae,Bodianus rufus,Spanish Hogfish,I,12.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Labridae,Clepticus parrae,Creole Wrasse,PL,17.5,200
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Labridae,Clepticus parrae,Creole Wrasse,PL,22.5,35
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Labridae,Scarus taeniopterus,Princess Parrotfish,H,3,3
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Labridae,Thalassoma bifasciatum,Bluehead,I,3,14
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Lutjanidae,Lutjanus jocu,Dog Snapper,P,80,2
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Pomacanthidae,Holacanthus tricolor,Rock Beauty,I,12.5,1
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Pomacentridae,Chromis insolata,Sunshinefish,PL ,3,35
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Pomacentridae,Chromis multilineata,Brown Chromis,I,3,45
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Pomacentridae,Chromis scotti,Purple Reeffish,PL ,3,1
Gulf of Mexico,Flower Garden Banks,East Bank,2011,GULF-FGBS-0800-1100,6379,8/2/2011,27.91092,-93.60346,FGBNMS,HARD                                              ,Pomacentridae,Stegastes partitus,Bicolor Damselfish,H,3,7
