Region,SubRegion,StudyArea,SurveyYear,BatchCode,SurveyIndex,SurveyDate,Latitude,Longitude,Management,StructureType,Richness
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5887,9/10/2010,27.91002,-93.60345,FGBNMS,HARD                                              ,18
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5888,9/10/2010,27.91274,-93.60042,FGBNMS,HARD                                              ,25
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5889,9/10/2010,27.91921,-93.60229,FGBNMS,HARD                                              ,22
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5890,9/10/2010,27.91093,-93.60244,FGBNMS,HARD                                              ,15
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5891,9/12/2010,27.90552,-93.60139,FGBNMS,HARD                                              ,19
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5892,9/11/2010,27.90915,-93.59634,FGBNMS,HARD                                              ,19
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5893,9/10/2010,27.91184,-93.60092,FGBNMS,HARD                                              ,21
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5894,9/10/2010,27.91003,-93.60244,FGBNMS,HARD                                              ,19
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5895,9/10/2010,27.90867,-93.60243,FGBNMS,HARD                                              ,19
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5896,9/11/2010,27.90689,-93.59734,FGBNMS,HARD                                              ,24
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5897,9/12/2010,27.90777,-93.60242,FGBNMS,HARD                                              ,18
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5898,9/11/2010,27.90553,-93.59835,FGBNMS,HARD                                              ,18
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5899,9/11/2010,27.90598,-93.59886,FGBNMS,HARD                                              ,22
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5900,9/12/2010,27.90777,-93.60191,FGBNMS,HARD                                              ,18
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5901,9/10/2010,27.90913,-93.60193,FGBNMS,HARD                                              ,20
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5902,9/11/2010,27.90701,-93.60069,FGBNMS,HARD                                              ,23
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5903,9/10/2010,27.90868,-93.60142,FGBNMS,HARD                                              ,17
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5904,9/10/2010,27.90958,-93.60142,FGBNMS,HARD                                              ,21
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5905,9/10/2010,27.91094,-93.60041,FGBNMS,HARD                                              ,20
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5906,9/11/2010,27.90914,-93.59939,FGBNMS,HARD                                              ,17
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5907,9/10/2010,27.91049,-93.5999,FGBNMS,HARD                                              ,17
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5908,9/10/2010,27.90868,-93.6004,FGBNMS,HARD                                              ,24
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5909,9/10/2010,27.91049,-93.5994,FGBNMS,HARD                                              ,26
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5910,9/11/2010,27.90823,-93.59989,FGBNMS,HARD                                              ,23
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5911,9/11/2010,27.90824,-93.59887,FGBNMS,HARD                                              ,20
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5912,9/11/2010,27.90778,-93.59988,FGBNMS,HARD                                              ,17
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5913,9/12/2010,27.90688,-93.59836,FGBNMS,HARD                                              ,21
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5914,9/11/2010,27.90733,-93.59937,FGBNMS,HARD                                              ,27
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5915,9/11/2010,27.90778,-93.59938,FGBNMS,HARD                                              ,24
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5916,9/11/2010,27.90734,-93.59836,FGBNMS,HARD                                              ,23
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5917,9/11/2010,27.90914,-93.59786,FGBNMS,HARD                                              ,21
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5918,9/11/2010,27.90869,-93.59735,FGBNMS,HARD                                              ,20
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5919,9/11/2010,27.90869,-93.59837,FGBNMS,HARD                                              ,27
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5920,9/12/2010,27.90643,-93.59835,FGBNMS,HARD                                              ,27
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5921,9/10/2010,27.91068,-93.59814,FGBNMS,HARD                                              ,21
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5922,9/11/2010,27.91008,-93.59737,FGBNMS,HARD                                              ,23
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5923,9/12/2010,27.90601,-93.5999,FGBNMS,HARD                                              ,24
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5924,9/10/2010,27.91911,-93.60352,FGBNMS,HARD                                              ,26
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5925,9/11/2010,27.90373,-93.59732,FGBNMS,HARD                                              ,18
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5926,9/12/2010,27.90642,-93.60242,FGBNMS,HARD                                              ,27
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5927,9/10/2010,27.91436,-93.59972,FGBNMS,HARD                                              ,11
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5928,9/12/2010,27.90482,-93.60271,FGBNMS,HARD                                              ,16
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5929,9/12/2010,27.90506,-93.60241,FGBNMS,HARD                                              ,17
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5930,9/10/2010,27.91327,-93.59892,FGBNMS,HARD                                              ,33
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5931,9/11/2010,27.90467,-93.59637,FGBNMS,HARD                                              ,23
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5932,9/13/2010,27.87588,-93.81792,FGBNMS,HARD                                              ,22
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5933,9/13/2010,27.8727,-93.82043,FGBNMS,HARD                                              ,26
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5934,9/13/2010,27.87229,-93.81433,FGBNMS,HARD                                              ,23
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5935,9/13/2010,27.87317,-93.81688,FGBNMS,HARD                                              ,23
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5936,9/13/2010,27.8727,-93.82094,FGBNMS,HARD                                              ,21
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5937,9/13/2010,27.87588,-93.81741,FGBNMS,HARD                                              ,28
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5938,9/12/2010,27.8732,-93.81231,FGBNMS,HARD                                              ,25
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5939,9/12/2010,27.8759,-93.81335,FGBNMS,HARD                                              ,27
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5940,9/13/2010,27.87362,-93.81841,FGBNMS,HARD                                              ,24
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5941,9/12/2010,27.87635,-93.81436,FGBNMS,HARD                                              ,19
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5942,9/13/2010,27.8741,-93.81282,FGBNMS,HARD                                              ,30
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5943,9/13/2010,27.87456,-93.81232,FGBNMS,HARD                                              ,25
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5944,9/12/2010,27.87589,-93.81487,FGBNMS,HARD                                              ,27
